date,userName,review,rating
2025-01-04 08:44:36,Chasayu,"Transaksi QRIS di wondr gagal tapi saldo tabungan berkurang, ga ada verifikasi kah atau apa sblm dana dikirim. Cek di bni mobile dana keluar tp di wondr transaksi gagal gimana sih, mana transaksi udah 3 kali dengan nominal hampir 50rb.",1
2025-01-04 08:44:36,Chasayu,"Transaksi QRIS di wondr gagal tapi saldo tabungan berkurang, ga ada verifikasi kah atau apa sblm dana dikirim. Cek di bni mobile dana keluar tp di wondr transaksi gagal gimana sih, mana transaksi udah 3 kali dengan nominal hampir 50rb.",1
2025-01-04 08:44:36,Chasayu,"Transaksi QRIS di wondr gagal tapi saldo tabungan berkurang, ga ada verifikasi kah atau apa sblm dana dikirim. Cek di bni mobile dana keluar tp di wondr transaksi gagal gimana sih, mana transaksi udah 3 kali dengan nominal hampir 50rb.",1
2025-01-04 04:10:22,Pak gembul,Perbaikan yg menyeluruh dibandingkan BNI mo-bank sebelumnya. Kereen.,5
2025-01-04 04:10:22,Pak gembul,Perbaikan yg menyeluruh dibandingkan BNI mo-bank sebelumnya. Kereen.,5
2025-01-04 04:10:22,Pak gembul,Perbaikan yg menyeluruh dibandingkan BNI mo-bank sebelumnya. Kereen.,5
2025-01-04 04:10:22,Pak gembul,Perbaikan yg menyeluruh dibandingkan BNI mo-bank sebelumnya. Kereen.,5
2025-01-04 04:10:22,Pak gembul,Perbaikan yg menyeluruh dibandingkan BNI mo-bank sebelumnya. Kereen.,5
2025-01-04 04:10:22,Pak gembul,Perbaikan yg menyeluruh dibandingkan BNI mo-bank sebelumnya. Kereen.,5
2025-01-04 04:10:22,Pak gembul,Perbaikan yg menyeluruh dibandingkan BNI mo-bank sebelumnya. Kereen.,5
2025-01-04 04:10:22,Pak gembul,Perbaikan yg menyeluruh dibandingkan BNI mo-bank sebelumnya. Kereen.,5
2025-01-04 04:10:22,Pak gembul,Perbaikan yg menyeluruh dibandingkan BNI mo-bank sebelumnya. Kereen.,5
2025-01-04 03:00:45,nazbkpp69,"Sebenarnya aplikasi ini lebih mudah  dibanding yg sebelumnya. Tapi entah mengapa sering error bahkan saat sedang transaksi online seperti penggunaan Qris. Benar-benar membuat masalah di saat- saat genting. ☹️
Mudah-mudahan developer-nya segera memperbaiki karena pengguna BNI sungguh banyak di Indonesia.",3
2025-01-04 03:00:45,nazbkpp69,"Sebenarnya aplikasi ini lebih mudah  dibanding yg sebelumnya. Tapi entah mengapa sering error bahkan saat sedang transaksi online seperti penggunaan Qris. Benar-benar membuat masalah di saat- saat genting. ☹️
Mudah-mudahan developer-nya segera memperbaiki karena pengguna BNI sungguh banyak di Indonesia.",3
2025-01-04 03:00:45,nazbkpp69,"Sebenarnya aplikasi ini lebih mudah  dibanding yg sebelumnya. Tapi entah mengapa sering error bahkan saat sedang transaksi online seperti penggunaan Qris. Benar-benar membuat masalah di saat- saat genting. ☹️
Mudah-mudahan developer-nya segera memperbaiki karena pengguna BNI sungguh banyak di Indonesia.",3
2025-01-04 03:00:45,nazbkpp69,"Sebenarnya aplikasi ini lebih mudah  dibanding yg sebelumnya. Tapi entah mengapa sering error bahkan saat sedang transaksi online seperti penggunaan Qris. Benar-benar membuat masalah di saat- saat genting. ☹️
Mudah-mudahan developer-nya segera memperbaiki karena pengguna BNI sungguh banyak di Indonesia.",3
2025-01-04 03:00:45,nazbkpp69,"Sebenarnya aplikasi ini lebih mudah  dibanding yg sebelumnya. Tapi entah mengapa sering error bahkan saat sedang transaksi online seperti penggunaan Qris. Benar-benar membuat masalah di saat- saat genting. ☹️
Mudah-mudahan developer-nya segera memperbaiki karena pengguna BNI sungguh banyak di Indonesia.",3
2025-01-04 03:00:45,nazbkpp69,"Sebenarnya aplikasi ini lebih mudah  dibanding yg sebelumnya. Tapi entah mengapa sering error bahkan saat sedang transaksi online seperti penggunaan Qris. Benar-benar membuat masalah di saat- saat genting. ☹️
Mudah-mudahan developer-nya segera memperbaiki karena pengguna BNI sungguh banyak di Indonesia.",3
2025-01-04 03:00:45,nazbkpp69,"Sebenarnya aplikasi ini lebih mudah  dibanding yg sebelumnya. Tapi entah mengapa sering error bahkan saat sedang transaksi online seperti penggunaan Qris. Benar-benar membuat masalah di saat- saat genting. ☹️
Mudah-mudahan developer-nya segera memperbaiki karena pengguna BNI sungguh banyak di Indonesia.",3
2025-01-04 03:00:45,nazbkpp69,"Sebenarnya aplikasi ini lebih mudah  dibanding yg sebelumnya. Tapi entah mengapa sering error bahkan saat sedang transaksi online seperti penggunaan Qris. Benar-benar membuat masalah di saat- saat genting. ☹️
Mudah-mudahan developer-nya segera memperbaiki karena pengguna BNI sungguh banyak di Indonesia.",3
